_id,_name,_masterLotteryInfoId,_masterCautionId,_category,_type,_priority,_masterLotteryPriceId,_masterLotteryRarityId,_masterLotteryImageId,_balloonSpriteName,_startdashTime,_startdashExpireTime,_checkDisplayableLottery,_repeat,_exchangeMasterItemId,_masterLotteryEffMovieId,_masterLotteryEffMovieRatioId,_storeReviewFlag,_masterReleaseLabelId
1110001,Release Celebration Scout,1110001,1110001,1,1,20,1110001,1110001,1110001,,0,0,0,0,15500001,1,1,0,223041501
1110002,Guaranteed UR! Release Celebration Scout,1110002,1110002,1,1,20,1110002,1110002,1110002,,0,0,0,0,15500001,1,2,0,223041501
1110003,Spotlight Scout: Harajuku Liella! After School ♡,1110003,1110003,1,1,20,1110003,1110003,1110003,,0,0,0,0,15500002,1,1,0,223041901
1110004,Normal Scout,1110004,1110004,1,1,20,1110004,1110004,1110004,,0,0,0,0,15510004,1,1,0,223043001
1110005,Normal Scout,1110005,1110005,1,1,20,1110005,1110005,1110005,,0,0,0,0,15510005,1,1,0,223051501
1110006,Normal Scout,1110006,1110006,1,1,20,1110006,1110006,1110006,,0,0,0,0,15510006,1,1,0,223053101
1110007,Normal Scout,1110007,1110007,1,1,20,1110007,1110007,1110007,,0,0,0,0,15510007,1,1,0,223061501
1110008,Normal Scout,1110008,1110008,1,1,20,1110008,1110008,1110008,,0,0,0,0,15510008,1,1,0,223063001
1110009,Normal Scout,1110009,1110009,1,1,20,1110009,1110009,1110009,,0,0,0,0,15510009,1,1,0,223071502
1110010,Normal Scout,1110010,1110010,1,1,20,1110010,1110010,1110010,,0,0,0,0,15510010,1,1,0,223073101
1110011,Normal Scout,1110011,1110011,1,1,20,1110011,1110011,1110011,,0,0,0,0,15510011,1,1,0,223081501
1110012,Normal Scout,1110012,1110012,1,1,20,1110012,1110012,1110012,,0,0,0,0,15510012,1,1,0,223083107
1110013,Normal Scout,1110013,1110013,1,1,20,1110013,1110013,1110013,,0,0,0,0,15510013,1,1,0,223091501
1110014,Normal Scout,1110014,1110014,1,1,20,1110014,1110014,1110014,,0,0,0,0,15510014,1,1,0,223093001
1110015,Normal Scout,1110015,1110015,1,1,20,1110015,1110015,1110015,,0,0,0,0,15510015,1,1,0,223101505
1110016,Normal Scout,1110016,1110016,1,1,20,1110016,1110016,1110016,,0,0,0,0,15510016,1,1,0,223103107
1110017,Normal Scout,1110017,1110017,1,1,20,1110017,1110017,1110017,,0,0,0,0,15510017,1,1,0,223111501
1110018,Normal Scout,1110018,1110018,1,1,20,1110018,1110018,1110018,,0,0,0,0,15510018,1,1,0,223113008
1110019,Normal Scout,1110019,1110019,1,1,20,1110019,1110019,1110019,,0,0,0,0,15510019,1,1,0,223121513
1110020,Normal Scout,1110020,1110020,1,1,20,1110020,1110020,1110020,,0,0,0,0,15510020,1,1,0,223123107
1110021,Normal Scout,1110021,1110021,1,1,20,1110021,1110021,1110021,,0,0,0,0,15510021,1,1,0,224011508
1110022,Normal Scout,1110022,1110022,1,1,20,1110022,1110022,1110022,,0,0,0,0,15510022,1,1,0,224013108
1110023,Normal Scout,1110023,1110023,1,1,20,1110023,1110023,1110023,,0,0,0,0,15510023,1,1,0,224021409
1110024,Normal Scout,1110024,1110024,1,1,20,1110024,1110024,1110024,,0,0,0,0,15510024,1,1,0,224030120
2110001,Spotlight Scout: Out on the Town,2110001,2110001,1,1,2304307,2110001,2110001,2110001,,0,0,0,0,15520001,1,1,0,223043002
2110002,Spotlight Scout: Shopping Streets,2110002,2110002,1,1,2305157,2110002,2110002,2110002,,0,0,0,0,15520002,1,1,0,223051502
2110003,Spotlight Scout: Live in Nature,2110003,2110003,1,1,2305317,2110003,2110003,2110003,,0,0,0,0,15520003,1,1,0,223053102
2110004,Spotlight Scout: Glittering Dancers,2110004,2110004,1,1,2306197,2110004,2110004,2110004,,0,0,0,0,15520004,1,1,0,223061502
